No.|Class|Condition|Contents|Measure|Release|Teach|Auto|Teach|Auto|Teach|Auto
6331|Sensor failure|Calculation turns to unstable during arc-sensing process.|This error is activated when stability of welding arc decreased significantly.|Check that welding condition to be stable.|Error reset.|I|I|I|I|on|on
6332|Sensor failure|Welding position cannot be detected|This error is activated when the deviation detection cannot be calculated during arc-sensing process. Note that position correction is not executed.|Try to re-adjust sensing parameters.|Error reset.|I|I|I|I|on|on
6333|Sensor failure|Unstable wire-feeding.|Wire-feeding status turn to unstable. Deviation is lager than specified value.|Check that equipments for wire feeding.|Error reset.|I|I|I|I|on|on
6334|Sensor failure|ST parameter error.|The instruction parameter of ST command is over the setting range.|It improves whether each parameter is setting within the limits.|Error reset.|I|I|I|I|on|on
6335|Sensor failure|ZJ Deviation range exceeded|This error occurs when the distance between the detected|Check detected position. If no problems exist, modify(enlarge) the ZJ deviation range parameter or|Error reset.|I|I|I|I|on|on
6336|Sensor failure|Adaptive Wire Speed Over|Wire Speed specified by adaptive control exceeds maximum wire speed watch value of adaptive control.|Check the lists of the specified spreadsheet in the sensor controller by WinUser. If the spreadsheet is OK, increase maximum wire speed watch value of adaptive control.|Error reset.|I|I|I|I|on|on
6337|Sensor failure|Adaptive Wire Speed Short|Wire speed specified by adaptive control becomes lower than minimum wire speed watch value of adaptive control.|Check the lists of the specified spreadsheet in the sensor controller by WinUser. If the spreadsheet is OK, decrease minimum wire speed watch value of adaptive control.|Error reset.|I|I|I|I|on|on
6338|Sensor failure|Area Over|Detected area is exceeded beyond maximum allowable value.|Check the area watch value(maximum) and enlarge if needed.|Error reset.|I|I|I|I|on|on
6339|Sensor failure|Area Short|Detected area becomes lower than minimum allowable value.|Check the area watch value(minimum) and decrease if needed.|Error reset.|I|I|I|I|on|on
6340|Sensor failure|Mismatch Over|Detected mismatch is exceeded beyond maximum allowable value.|Check the mismatch watch value(maximum) and enlarge if needed.|Error reset.|I|I|I|I|on|on
6341|Sensor failure|Mismatch Short|Detected mismatch becomes lower than minimum allowable value.|Check the mismatch watch value(minimum) and decrease if needed.|Error reset.|I|I|I|I|on|on
6342|Sensor failure|Adaptive EN Ratio Over|EN ratio specified by adaptive control exceeds maximum EN ratio watch value of adaptive control.|Check the lists of the specified spreadsheet in the sensor controller by WinUser. If the spreadsheet is OK, increase maximum EN ratio watch value of adaptive control.|Error reset.|I|I|I|I|on|on
6343|Sensor failure|Adaptive EN Ratio Short|EN ratio specified by adaptive control becomes lower than minimum EN ratio watch value of adaptive control.|Check the lists of the specified spreadsheet in the sensor controller by WinUser. If the spreadsheet is OK, decrease minimum EN ratio watch value of adaptive control.|Error reset.|I|I|I|I|on|on
6344|Sensor failure|Normal Angle Over|Detected Normal angle is exceeded beyond maximum allowable value.|Check that Normal angle amount and modify allowable value if needed.|Error reset.|I|I|I|I|on|on
6345|Sensor failure|Normal Angle Short|Detected Normal angle becomes lower than minimum allowable value.|Check that Normal angle amount and modify allowable value if needed.|Error reset.|I|I|I|I|on|on
6404|Sensor failure|Adaptive weaving amplitude over|Weaving amplitude specified by adaptive control exceeds maximum amplitude watch value of adaptive control.|Check the lists of the specified spreadsheet in the sensor controller by WinUser. If the spreadsheet is OK, increase maximum amplitude watch value of adaptive control.|Error reset.|I|I|I|I|on|on
6448|TP failure|Battery remainder amount shortage of the wireless T/P.|The capacity of the battery of the wireless T/P has decreased.|Please connect with the cradle, and charge with the battery.|No reset operations neccesary.|I|I|I|I|off|off
6449|TP failure|Wireless strength shortage of th wireless T/P|Wireless strength of the wireless T/P has weakened.|Please bring the wireless T/P close to the controller.|No reset operations neccesary.|I|I|I|I|off|off
7000|User failure|User failure.|User failure.|Please carry out "failure-reset".|Error reset.|E|E|E|E|on|on
9001|Emergency stop failure|The robot's joint angle before and behind a record point was not in agreement.|The robot's joint angle was not in agreement at the starting point of this step and the target point of this step.|Contact our service department. Back up files to external CF memory. Because the robot stop step is different to the execute step, step-set must be needed for restart.|Error reset.|A|E|A|E|on|on
9002|Emergency stop failure|The amount of step movements is abnormal.|The result which added the amount of step movements to the robot's joint angle in a starting point is not in agreement with the robot joint angle in a target point.|Contact our service department. Back up files to external CF memory. Because the robot stop step is different to the execute step, step-set must be needed for restart.|Error reset.|A|E|A|E|on|on
9003|Operation al failure|Abnormal velocity command. Modify abnormal axis motion.|Abnormal velocity command data is calculated.|Modify abnormal axis motion to be minimized. Contact our service department in case axis motion is not so big. Back up files to external CF memory. Because the robot stop step is different to the execute step, step-set must be needed for restart.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
9005|Servo failure|Position Deviation error|This failure occurs when the deviation between the command and encoder data position exceeds the set permissible deviation.|(1)Please confirm whether the robot manipulator interferes in something.(2)Please confirm that the Pay-load is within the nominal rating.(3)If failure persists, the problem may be a mechanical defect in the manipulator, contact our service department.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
9011|Emergency stop failure|The robot's joint angle before and behind a record point was not in agreement.|The robot joint angle of this step starting point and the robot joint angle of the last step target point is different.|Contact our service department. Back up files to external CF memory. Because the robot stop step is different to the execute step, step-set must be needed for restart.|Turn on the power again.|E|E|E|E|on|on
9012|Emergency stop failure|The amount of step movements is abnormal.|The result which added the amount of step movements to the robot's joint angle in a starting point is not in agreement with the robot joint angle in a target point.|Contact our service department. Back up files to external CF memory. Because the robot stop step is different to the execute step, step-set must be needed for restart.|Turn on the power again.|E|E|E|E|on|on
9020|CPU board failure|Error of Interpolation Stop.|Motion control section detected the Time-out Error of Interpolation Stop.|Contact our service department. Back up files to external CF memory. Because the robot stop step is different to the execute step, step-set must be needed for restart.|Error reset.|E|E|E|E|on|on
